ARTWORK_ID,ARTWORK_TITLE,ARTWORK_CREATION_YEAR,ACQUSITION_DATE,PROC_OFFICER_NAME
269,Cultural Center,1986,1987-05-27 00:00:00,Gift of the architect
270,Urban Housing,1985,1987-05-27 00:00:00,Gift of the architect
271,Row Housing,1985,1987-05-27 00:00:00,Gift of the architect
272,Row Housing,1985,1987-05-27 00:00:00,Gift of the architect
273,House,1986,1987-05-27 00:00:00,Gift of the architect
274,House,1984,1987-05-27 00:00:00,Gift of the architect
275,Gallery,1985,1987-05-27 00:00:00,Gift of the architect
276,Thyssen-Bornemisza Gallery,1986,1987-05-27 00:00:00,Gift of the architect
277,Urban Housing,1985,1987-05-27 00:00:00,Gift of the architect
278,Urban Housing,1985,1987-05-27 00:00:00,Gift of Mario Botta
279,Urban Housing,1985,1987-05-27 00:00:00,Gift of Mario Botta
280,Library,1984,1987-05-27 00:00:00,Gift of the architect
281,Library,1984,1987-05-27 00:00:00,Gift of the architect
282,La Miniatura,1924,1981-04-30 00:00:00,Gift of Mr. and Mrs. Walter Hochschild
283,Project for a Piece of Furniture,1974,1975-03-31 00:00:00,Zaidee Dufallo Fund and Greta Daniel Fund
284,La Miniatura,1923,1981-04-30 00:00:00,Gift of Mr. and Mrs. Walter Hochschild
285,La Miniatura,1923,1981-04-30 00:00:00,Gift of Mr. and Mrs. Walter Hochschild
286,Ibirapuera Park,1953,1954-06-16 00:00:00,Inter-American Fund
287,"""Bauhaus 1919-1928",1938,1986-10-07 00:00:00,Purchase
288,White Monuments with Red Flag Curtains,1974,1986-10-07 00:00:00,Architecture and Design Interest Fund
289,Silk Administration Building project,1938,1986-10-07 00:00:00,Purchase
290,Silk Administration Building project,1938,1986-10-07 00:00:00,Purchase
291,Silk Administration Building,1938,1986-10-07 00:00:00,Purchase
292,Silk Administration Building project,1938,1986-10-07 00:00:00,Purchase
293,Silk Administration Building project,1938,1986-10-07 00:00:00,Purchase
294,Resor House Project,1938,1979-05-30 00:00:00,"Mies van der Rohe Archive, gift of the architect"
295,Micromegas Project,1979,1999-06-30 00:00:00,"Robert K. and Barbara J. Straus Family Foundation, Inc."
296,Sixth Street House project,1987,1999-06-30 00:00:00,Given anonymously
297,Sixth Street House project,1990,1999-06-30 00:00:00,Given anonymously
298,Sixth Street House project,1987,1999-06-30 00:00:00,Given anonymously
299,Sixth Street House project,1990,1999-06-30 00:00:00,Given anonymously
300,Boompjes Tower Slab,1981,1999-06-30 00:00:00,Andrew Cogan Purchase Fund
301,Urban Architecture,1976,1999-06-30 00:00:00,Barbara Jakobson Purchase Fund
66,The Manhattan Transcripts Project,1981,1995-01-17 00:00:00,Purchase and partial gift of the architect in honor of Lily Auchincloss
67,The Manhattan Transcripts Project,1981,1995-01-17 00:00:00,Purchase and partial gift of the architect in honor of Lily Auchincloss
68,The Manhattan Transcripts Project,1981,1995-01-17 00:00:00,Purchase and partial gift of the architect in honor of Lily Auchincloss
76,Concert Hall Project,1918,1966-01-11 00:00:00,Gift of Henry G. Proskauer
79,Earth-Cloud House,1970,1980-01-08 00:00:00,Gift of Philip Johnson
81,House IV Transformation Study,1975,1980-01-08 00:00:00,Gift of Philip Johnson
82,Villa dall'Ava,1987,2000-01-19 00:00:00,Gift of Max Underwood
84,Pedestrian City,1979,1980-01-08 00:00:00,National Endowment for the Arts Project Funds
85,Parc de la Villette,1984,2000-01-19 00:00:00,Gift of the Peter Norton Family Foundation
87,Pedestrian City,1979,1980-01-08 00:00:00,National Endowment for the Arts Project Funds
88,Parc de la Villette,1986,2000-01-19 00:00:00,Takeo Ohbayashi Purchase Fund
90,Pedestrian City,1979,1980-01-08 00:00:00,National Endowment for the Arts Project Funds
92,Fargo-Moorhead Cultural Center Bridge,1978,1980-01-08 00:00:00,Lily Auchincloss Fund
94,Vacation House Project,1978,1980-01-08 00:00:00,Gift of Philip Johnson
96,French & Company,1978,1980-01-08 00:00:00,Gift of Philip Johnson
98,Vacation House,1978,1980-01-08 00:00:00,Gift of Philip Johnson
100,Regional Administrative Center,1974,1980-01-08 00:00:00,Philip Johnson Fund
107,Villa Snellman,1917,1990-01-17 00:00:00,"Gift of Mr. and Mrs. Edward Larrabee Barnes, Roblee McCarthy, Jr., Jeffrey P. Klein Purchase Fund, and purchase"
109,Villa Snellman,1917,1990-01-17 00:00:00,"Gift of Mr. and Mrs. Edward Larrabee Barnes, Roblee McCarthy, Jr., Jeffrey P. Klein Purchase Fund, and purchase"
